Rol,Unnamed: 0,Unnamed: 0.1,Index,aantalst
1,58653,58653,58653,343
2,278778,278778,278778,479
3,413494,413494,372690,808
4,570200,570200,449400,800
5,730200,730200,529400,800
6,813096,813096,557704,736
7,976185,976185,643356,756
8,1037520,1037520,663344,704
9,1701252,1701252,1057644,1008
10,2188200,2188200,1324120,1120
11,674107,674107,401952,316
12,1629180,1629180,994860,360
13,1758780,1758780,1124460,360
14,1888380,1888380,1254060,360
15,2017980,2017980,1383660,360
16,1659140,1659140,1165780,280
17,2024100,2024100,1451450,325
18,2264235,2264235,1656345,345
19,2383260,2383260,1775370,345
20,2502285,2502285,1894395,345
21,2621310,2621310,2013420,345
22,2740335,2740335,2132445,345
23,2859360,2859360,2251470,345
24,2899176,2899176,2278920,672
25,2866080,2866080,2222880,640
26,2968480,2968480,2274080,640
27,3070880,3070880,2325280,640
28,5290824,5290824,3948648,1056
29,5569608,5569608,4088040,1056
30,5848392,5848392,4227432,1056
31,4616200,4616200,3295400,800
32,4776200,4776200,3375400,800
33,6549576,6549576,4578024,1056
34,7781100,7781100,5371500,1200
35,5387400,5387400,3681000,800
36,7356360,7356360,4981416,1056
37,7635144,7635144,5120808,1056
38,7913928,7913928,5260200,1056
39,8192712,8192712,5399592,1056
40,3176100,3176100,2081700,400
41,6472200,6472200,4223400,800
42,6632200,6632200,4303400,800
43,8999496,8999496,5802984,1056
44,7003400,7003400,4489000,800
45,4135284,4135284,2640276,464
46,5792160,5792160,3685920,640
47,5894560,5894560,3737120,640
48,5996960,5996960,3788320,640
49,6099360,6099360,3839520,640
50,6201760,6201760,3890720,640
51,11099480,11099480,6931960,1120
52,8530410,8530410,5301870,840
53,11901318,11901318,7362498,1144
54,16843848,16843848,10357032,1568
55,12407640,12407640,7586040,1120
56,10151904,10151904,6181728,896
57,12972120,12972120,7868280,1120
58,13285720,13285720,8025080,1120
59,13599320,13599320,8181880,1120
60,11105248,11105248,6658400,896
61,11305952,11305952,6758752,896
62,10057348,10057348,5996228,784
63,20575688,20575688,12222952,1568
64,11492014,11492014,6802418,856
